# xtQRdecoder synthetic fixtures - GENERATED by tools/gen_synthetic_fixtures.py; do not edit
# file	version	ec	mask	hints	expect	text_hex	note
v01-L-num.png	1	L		TRY_HARDER	text	393431393835373133303433323039333030333939	axis-aligned, scale 4, border 4
v01-H-alnum.png	1	H		TRY_HARDER	text	41442d4c2e24	axis-aligned, scale 4, border 4
v02-M-byte.png	2	M		TRY_HARDER	text	252c5270267d75452f566b2368	axis-aligned, scale 4, border 4
v03-Q-byte.png	3	Q		TRY_HARDER	text	242663512d7c263761396b672b4256	axis-aligned, scale 4, border 4
v04-L-alnum.png	4	L		TRY_HARDER	text	5a4457343245505a4b4b5750324236472d5844585748564155532556504f3135315a244f4f355a2e5054202d492e2051434a2b5132593945	axis-aligned, scale 4, border 4
v05-H-num.png	5	H		TRY_HARDER	text	3331313030313034313138343538313438393134363938383632383431343533313332383036373130323531393238393637	axis-aligned, scale 4, border 4
v06-M-byte.png	6	M		TRY_HARDER	text	743a217d2e65236c3e75767b575c522c4d4b697468436f2f3e5133694232735e7e7e6f5656216153613d23333c503660	axis-aligned, scale 4, border 4
v07-L-byte.png	7	L		TRY_HARDER	text	3246696e716d5e2b76775225734860595d5a2b2d2b762c4122606668255d6e6436794c66327b69664449456d212a495b60517b594d2675225b6f6b30484830254d6d2a514c4574522f	axis-aligned, scale 4, border 4
v08-Q-alnum.png	8	Q		TRY_HARDER	text	5a424e5137354a324720532d2e4720462b4f5451393a442b5153435145505255522e46304d354d41374252374441463234372a2a4d2e2f414250543a46422e46582b4b584d542f4a204d5325595957314e4c4b	axis-aligned, scale 4, border 4
v10-M-byte.png	10	M		TRY_HARDER	text	7945552d5a3b692040672c76316856763d2f7e6270645e2a2f486e3028233f3c4b215a60305f60765b35343a333321354e3064374142387a4e77282a5f4f6f24794c557c665f58772249477b6c763a6b63352e27356a626855715b62356a694c54522626	axis-aligned, scale 4, border 4
v12-H-byte.png	12	H		TRY_HARDER	text	35302f7d506477433a2d5b72252e78375f732f356f594077595f687e71704f6f793670275243275936554449235a7541333f7c2e3d76666f202c20304a372c263f382b485b2f6d6649	axis-aligned, scale 3, border 4
v15-L-num.png	15	L		TRY_HARDER	text	3538363131353732363433323137363534303839323739313432373530353232313038393332353635373638323830383239383638383530343937393237353535383739363732383738323235343739363131313136363631353039313232323632373435313835313939393036303236373934313035303036343031383832343034333834313336383535303936323531303738353832363530363938353331373531373132363938303338373538333339333433393232383930393135303033383434373032373231333637363537323330353236333737363039363731313635323036363137333339353532383138333638373037323535373232323331383330353036323839333235353830363931343939343637313231333932323934323031353231393333333337323538343736323831333535333938393438323232393639323132303630363633363832393533343038393236393331333732333232353239363337373535333335373930323035393334393339343730313738333935303338393137313037333236393437363931333137303834313238333233383732333735353036313134313430333335333338313530383137353331313239363736363536313335373239373734353438303137303833303330343638353734313838393534363330363932343039333231373937373839353634343432313239363031353130353035323633303238363632363738383736303734313135353334343133	axis-aligned, scale 3, border 4
v18-M-byte.png	18	M		TRY_HARDER	text	666f612b7021366f203c5f555f734d7e6a472e3e6f237e545066597350544d5667584b252a314976373874293725583f795e6f5f4a686e2d6c2d4962343222612e44395a645c455667674645766b6d4b6d215546534d5436403c442148704068404a5f2f225b24526633514d3d582a5d4321252e4a357e5b503e3020482e3b735d3a2c3a2d5857685356603d456f264a5b412f6927345871704d4450217d796d385d613d563225524525775035552f4b6f4537653d3b362d64734a51682e213c7c403e727d5a7c7423624e2f3039452136525f3f6c327333615b65327e52666670497239433c6464674e29277334303d6d5f645620612e3b6f417067203e69	axis-aligned, scale 3, border 4
v20-Q-byte.png	20	Q		TRY_HARDER	text	2b27727e2036312b554c69303c536d4c796c76724277522e7b3b587458215b5e297b423f5f724d777e7220604565795446633769436a53384b6374584e4f2f3f60785d3f527575477c6a4b633d4f2d384e5e326c7e5a456b377c486138527e762d6d41755e264f60524658495c414d54785f7e5c265f2874683035703c236b2d2f606375547e5d6d635478247234404e457041636f365e5c3d754c71773d747d5b4f664e3b23554d4a29566a4a7579394b475e70253f374e2744684236366b2c554c517e5b2a5971604e617b5f7b6f36252c3e4939772a7a4478765041504b	axis-aligned, scale 3, border 4
v25-L-byte.png	25	L		TRY_HARDER	text	3f742b41265e312f4d556744504b397921602161545259512f733862387c52246d2354226b5726396c2543322935225d4542434a342b347964485a38463f2f584c566c6479216c63565a47377e647744514e643d3d2c714f2c3c795a724a44616161442f646962605b696d5239465a5a39333f6162572e7e316c26526b2a4a43384f2f5154627a65285a40612b663b2e4e4c57287b3c3c793a4f757a676e692e4137223f646a7e34575f7e774a212d5343524c2d277b7e444174426469283871775a5a6a3a42253c497e54505c37345c3d3b7c3e7b5c65443f6a487b447c386a2f34715a595f47237d422e2e373b417a79365d69695b274d34316068263b6140213358334157393e6b4c6d31695b7e723247686948545f2f283e4d20685169376a63535d3527205f404e70484365752c2d46642b4a327e3e4126676824726d506b623d567572227476585a6f727127487065372c3d587459492544524948367a6f484a3d54756c7161604c31352338572e70517e776f6f3934206d4e655e7d5f767a2e28785d552e406a754667287a47453a6b6777244563445448765e667d6f5c5f3553686073297d524763237b3b304e727872624b6a4b24696f2f4e23483477784b7c325a204f644e2d676f3b2a6a3149505f582f2e563d704b3035576526665b747c3a37504e344a416a6f5b4e2b5a6247452d606d7a4c616e553d22762e3d6765773d653c3c6a3c68652f2a247a39753d7b543a6241452f41486f395a5b70224d35	axis-aligned, scale 3, border 4
v30-M-alnum.png	30	M		TRY_HARDER	text	24502e424d332d3650564c493532204332312b36552a2b5036544f442b453a5558354f202a5a3857533453254c2a4d55584a4c202545353333462e50494e5033484556444430344f3739384f374524593053554e38512b384c49474433412a5144522d3632435839394d59432f422d484843485a383956565a24354531244b4c574655523041593524503224372d36243544472d4f535725563537572d524d394257535a554a24202b422a20202b32363a2449484a4d35364e432048454b504d4548474a585a433030204d312d3450534138502439554143575237323134394a35504e31394b2a345625505642304738414d2434444a4b2a5951364d35342f2b4a50382a394d3634244e532439445242524b474c2e5246584750352b353649474a4347484d44394b523849302f594f2f305056595631573a514849564a582539422f2f2a4d4e5935384d4a5555574224384f4a4b2e2f56432e31554b5a3654303851382a49514c204744572e574653484f3a5643462058303554434a433346522e3257323232573538455059325434514c3a434b325952545454334e35362f2a5046563442332b5833434b3746303a343541563a25253a38432056474b2558314f4a2a2b2b4755434856242a553457325057514e4f4850545638513557414553584d5257514c4f512a39434d4a253047464949244d58504344325455515a36323a37244b245348583837592f565a315041362e2e3946245a2f2d5a454d5943543a33205a25572a3948454a455936592f473a454e4559564a37514458345050304c2a32512d2d5a555924442f322534204b4233463536573235454250525a3530534d2f2b4a325a364f385020422f424e3a35355457474d25454845484545344c42444b2a2e56462f2b374d2545394a35453a20302a205245375333492b53562047255039502e4c2a4f4e46552f374c242a46554b32532d4430314b2d473755534944494825594b4e424c3854554e565459375353465755484d2b313a58343a3a4b4a302a544c4e5451524c4b5534354f555a3736545532242b24243a50524c41304a2424442b5753322d51243043463457332d364b3825504c20452436453a204d395946442d42572b462a54464d4f455525484e555720532a455253564d512533362e2e2b44503a2a362b504f51352b54544546344b564f5449372e4a444f522e2b2f3a503156493a35425244332e56492d53563632473332364154452a2e3657552b46394d2420383138364759242f51423453252b442a3234444658452a5a4c452e2e5831584c24474f51454c2f35552b3239562f4652384632314b534438364435472054572a3838253a364b204f392e334e36362a4a2e245941	axis-aligned, scale 3, border 4
v35-H-byte.png	35	H		TRY_HARDER	text	753f7e6a573b454352603074235d5f462d2e66732f567664517d607427534759312b3e2c533144354f5e5d7479315b5a4b686b604b2226753774213f4177613c504c613f297e446a2b60295660395255697a7c7874635354245b707a47345b6464212355537d2c7c4f2c383861797d4f422e2834203d21365537637e3c5a7a4a6d3e5c3d7d225c463737486c3b3e6446634837295e714c73347c5b3e69346f6e222d51465868235a2e272b65226d596e314976476b4079317673322d48786722505c3d544c635f4f40782a2d3d665a4e406f54242c486e7a46237d3e466c5b216c557d5d7971643f5a4b22572620682837675d7a486645317248585e21684530563548372554792a747329662362383647236d40254144635970694a753c71773a4d4d6f2d585c3d7257297b4c5c61426f30214b313f7a3a747a522d66555b475f4d303b4d2964307a29586c57615b5f6f5a4c782074235d5a443e68293d47744958213a68502c57722a2a52345f733f396c3941562654466926653f3d67656d3d2e5e242161235b43366f247d684f7464682b7e6368217a6e2360776e4f582842607d3e663a2d68744f6967457d33255324313e7b7d4c407a735c6e464c71535f38653029	axis-aligned, scale 3, border 4
v40-L-byte.png	40	L		TRY_HARDER	text	2e6d35447a2c533f6f575f2a515b7c396c6f255761583762576c6542284262295f3f383e2e327a7260275a71293c215b5a6f4344673476394e4933455160723d254f452d45486f43652e542a2e2d4e686f64373f4d2439363c687939526a44627a252a663142594c636336644f6f493a5b68384b44647255302a3c7c526c36343e2f2b544c505652696b6e6f3d554d50705d7c6e53662a6134572962753c5e354b734a572a3f4e313938416f5d566071396172232d5b4b614229365f316060236e635a46483e54722e77336e3a2d7d4c5c4f7b77325f56635222576675603d517a5621602f72706d263438322b2b3c754951705a6f66217e403540582058332c53773e7c3452234d3f253a6a2662793644202a246d565c78404b5d7e6836296c2b5e6e7b2366636161576c537551664835732a53243f49426337447054544f556a5b2b2165612f2a6c447b56652c71784c387b22594e2b42563146372b3371754026204123245643472f562844675a216b5a27725c394d65562431332b64556a3b4d682b763b423a4272406f4a695d7649407a604226494f436150714b664169707c6b2f6f477a447074442e35777541725055783e2b3d4458636876502a6e5e493e323a503e217e632f45554f47483a256c78513e2e2a746d5271624d4d53492b666766606f4845346a4e2760617e5178495a652623265228256b783c4346317c243f5a6b5d2e2e2c4b434a342b3d242c5d4b285962637b746d5d6139656e5451434028342d50773a48765d652044445b6452656f495076363c564b51405e496624514b5a615a67216c3e2f26672d6e4129397d6b252224687a4a79723f47503330713e38552364305237726b496b365e743c2543316c3f54203a3d215f76746e666745337623635b3a4a5f4a4a4f534779207723434f7e3d564f4f7779282a2622784d7733644a396f4a4b3f69616a6b7e467c374a6549243c473e513f5e695b215031412d6f7a7673667c537b2d592426423d77645a545c223e6e482c402a7e3d337c2926555f602d465e607861242b454d4b4f777941702c243d61616c443c71397c3f7479203d2358634d20475271225f2571247c544c634279257550557b4d5a6a224b5a2d4f33614b5a5964336f762d287d48736025547362284e3a47757d70766f5e753352404a6b2b7869286a2d3d555e2d79486f5d2a35446d773c374845302336673c297b605f25775f726a3b2d305f7660295831362e797c656a27404f3e72282b72322233792f7c25272867623e2e78403c2d6f755147386123246f787225337a6029283f6b5a52467073284d3f756b2f527546512860457a5b5020286f50777e7b566951306e41293e2421532f4a6f36244162345e7c7c5d7c633c774b7c667d5867352026614e5a45345c485e253e393b492a5e256d54723d7a514e32237124452f4a7a4d493d7c70206c756c554d577446246149332448303f7d326d332f3c596b54712e35657c77434a7567292f7c415878653a7544672b71216440244b595269453a2b7526574f684e76294e397736347d65605a3d443f6f2f3e4c3c463b3b432754622274366d793e6c477b542b4d7c6d3466735a752b7c564b592e6f456b734f666937634a6965264d5346624b3e50504973796844406d295826597a756a2172525f3b7a4923414b684167287352393a64444053615d744224454e5029607c5d6d466b3532705e474b7a7030772c772e325b722e4d6c3a4568342b605c4b2a67532c7c73615166335e243f36	axis-aligned, scale 3, border 4
mask0-v2M.png	2	M	0	TRY_HARDER	text	6d61736b2030206f78742e6f7267	mask 0, scale 3
mask1-v2M.png	2	M	1	TRY_HARDER	text	6d61736b2031206f78742e6f7267	mask 1, scale 3
mask2-v2M.png	2	M	2	TRY_HARDER	text	6d61736b2032206f78742e6f7267	mask 2, scale 3
mask3-v2M.png	2	M	3	TRY_HARDER	text	6d61736b2033206f78742e6f7267	mask 3, scale 3
mask4-v2M.png	2	M	4	TRY_HARDER	text	6d61736b2034206f78742e6f7267	mask 4, scale 3
mask5-v2M.png	2	M	5	TRY_HARDER	text	6d61736b2035206f78742e6f7267	mask 5, scale 3
mask6-v2M.png	2	M	6	TRY_HARDER	text	6d61736b2036206f78742e6f7267	mask 6, scale 3
mask7-v2M.png	2	M	7	TRY_HARDER	text	6d61736b2037206f78742e6f7267	mask 7, scale 3
rot+05-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 5 deg, nearest neighbour
rot+12-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 12 deg, nearest neighbour
rot+25-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 25 deg, nearest neighbour
rot+90-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 90 deg, nearest neighbour
rot+180-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 180 deg, nearest neighbour
rot+270-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated 270 deg, nearest neighbour
rot-30-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	rotated -30 deg, nearest neighbour
mirror-v3Q.png	3	Q		TRY_HARDER	text	524f54415445204d45203132333435204f70656e5854616c6b	transposed image (mirror retry)
inverted-v3Q.png	3	Q		TRY_HARDER,ALSO_INVERTED	text	524f54415445204d45203132333435204f70656e5854616c6b	inverted: white modules on black
